name,department,title_1,title_2,title_3,title_4,title_5,website,biography,headshot,faculty_page,areas_of_expertise_1,areas_of_expertise_2,areas_of_expertise_3,areas_of_expertise_4,areas_of_expertise_5,areas_of_expertise_6,areas_of_expertise_7,areas_of_expertise_8,areas_of_expertise_9,areas_of_expertise_10,areas_of_expertise_11,areas_of_expertise_12,areas_of_expertise_13,areas_of_expertise_14,areas_of_expertise_15,areas_of_expertise_16,areas_of_expertise_17
Steven S. Skiena,Computer Science,Distinguished Teaching Professor,Computer Science,College of Arts and Sciences,,,,"Steven Skiena’s research focuses on analyzing large-scale text streams such as news, blogs, and social media to identify cultural trends around the world's people, places, and things. He and his team developed computational methods to measure fame and significance of historical figures by analyzing Wikipedia, which is detailed in the book he co- authored,  Who's Bigger?  His research interests also include algorithm design and its applications to biology.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/skienaSteve.jpg,https://www.stonybrook.edu/experts/profile/steven-skiena,big data,large-scale text streams,social media,algorithm design,wikipedia category ranking,,,,,,,,,,,,
Shyam Sharma,English,Assistant Professor,English,College of Arts and Sciences,,,http://stonybrook.digication.com/shyam_sharma/Welcome/?&,"Shyam Sharma is a scholar and teacher of writing and rhetoric who studies academic writing and communication at the intersection of the arts and sciences. He is currently documenting how U.S. universities are facilitating the growth and success of international graduate students as writers and scholars in their disciplines and into the professions. A former lecturer at the Tribhuvan University of Nepal, he is also an expert on issues about Nepal and South Asia.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SharmaShyam.jpg,https://www.stonybrook.edu/experts/profile/shyam-sharma,writing and rhetoric,international students,cross-cultural communication,online education,Nepal,South Asia,,,,,,,,,,,
John J. Shea,Anthropology,Professor,Anthropology,College of Arts and Sciences,,,http://sites.google.com/a/stonybrook.edu/john-j-shea/,"John Shea’s research focuses on the archaeology of human origins and evolution during the Pleistocene Ice Ages. His interests include early hominid adaptive radiations, the origin of Homo sapiens, the extinction of the Neanderthals, and lithic (stone tool) technology. He has investigated these subjects through projects in Israel, Jordan, Eritrea, Ethiopia, and Kenya.  An expert stone-tool-maker, Shea uses the results of experiments using stone tools to improve archaeological methods for reconstructing prehistoric human behavior.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SheaJohn_HighRes.jpg,https://www.stonybrook.edu/experts/profile/john-shea,human evolution,archaeology,stone tools,ice age,neanderthals,anthropology,,,,,,,,,,,
Chris L. Sellers,History,Professor,History,College of Arts and Sciences,,,,"Christopher Sellers is a historian with a long-standing interest in the environmental, cultural, and health history of the 20th-century United States, and the ways this history has compared with that of other parts of the world. His research concentrates on the history of occupational and environmental health, of cities and suburbs, of industrial development and its hazards, and of the environmental movement. Chris is co-editor of Dangerous Trade: Histories of Industrial Hazard across a Globalizing World and is author of Crabgrass Crucible: Suburban Nature and the Rise of Environmentalism in 20th-Century America , as well as a forthcoming history of the lead and petrochemical industries in Texas and Mexico. He is also a trained physician.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Sellers%20Chris_Headshot.jpg,https://www.stonybrook.edu/experts/profile/christopher-sellers,U.S. environmental history,urban history,lead poisoning,pollution,industrial hygiene,domestic hygiene,housing,industrial hazards,historian of cities and suburbs,,,,,,,,
Carrie L Shandra,Sociology,Assistant Professor,Sociology,College of Arts and Sciences,,,http://www.carrieshandra.com/#!projects/c24sk,"Carrie Shandra's research interests include the effect of disability on the transition to adulthood, as well as on participation in unpaid work such as household labor, child care, and volunteering. She also studies internships and the impact of school-to-work programs on young people's employment. Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/ShandraCarrie.jpeg,https://www.stonybrook.edu/experts/profile/carrie-shandra,disabilities,employment,unpaid labor,school-to-work programs,internships,housework,time use,,,,,,,,,,
Richard Scriven,Surgery,"Pediatric Surgeon/Trauma; Associate Professor of Surgery; Director, General Surgery Residency",Surgery,School of Medicine,,,,"Dr. Scriven’s expertise includes surgical management of congenital and acquired anomalies/diseases of the neck, chest, abdomen, anorectum, and soft tissues in children (newborns to adolescents aged 17 years), including, but not limited to, congenital anomalies of the esophagus. He’s also interested in necrotizing enterocolitis; inguinal hernias; undescended testes; appendicitis; tumors of the kidneys, adrenal glands, gastrointestinal tract, lymphatics, and soft tissues; surgical consultation in pediatric trauma; and minimally invasive laparoscopic surgery.",https://www.stonybrook.edu/faculty-directory/images/ScrivenRichard-200.jpg,https://www.stonybrook.edu/experts/profile/richard-scriven,pediatric surgery,laparoscopic surgery,pediatric trauma,congenital defects,hernia repairs,,,,,,,,,,,,
Mark Schweitzer,Radiology,"Radiologist, Chairman, Department of Radiology, Professor of Radiology",Radiology,School of Medicine,,,,"Mark Schweitzer is one of the initial developers of Musculoskeletal MRI, having authored nearly 400 peer reviewed papers, 60 book chapters, and 4 books on musculoskeletal imaging. He has been invited to lecture in over 35 countries, and is currently the editor-in-chief of the major, international MRI journal. In addition, his work on diabetic foot disease has led to drastic reductions in amputations around the world.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SchweitzerMark.jpg,https://www.stonybrook.edu/experts/profile/mark-schweitzer,radiology,MRI,diabetic foot disease,,,,,,,,,,,,,,
Nicholas Scibetta,Chief Communications Officer,Vice President for Communications and Marketing,Chief Communications Officer,,,,,"Nicholas Scibetta is a seasoned global communications executive who is responsible for the University’s overarching global communications, brand strategy and visual identity. He is driving the vision and direction for the organization’s global communications and marketing functions across the University, Stony Brook Medicine and Stony Brook University Hospital system, overseeing and managing marketing, strategic communications, media/public relations, crisis and issues, content/publications, digital, social, and advertising. In his previous roles, he has overseen national and international communications programs for Fortune 500 clients.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/scibetta.jpg,https://www.stonybrook.edu/experts/profile/nicholas-scibetta,Global communications,brand strategy and visual identity,media relations,advertising,marketing,publications,social media,higher education,issues and crisis,,,,,,,,
Susan Schuval,Pediatrics,"Pediatric Allergist/Immunologist, Chief, Division of Pediatric Allergy and Immunology, Fellow of the American Academy of Allergy, Asthma and Immunology",Pediatrics,School of Medicine,,,,"Susan Schuval’s areas of expertise are primary immunodeficiency disease, food allergy, and Eosinophilic esophagitis (an inflammatory condition of the esophagus). Her research interests include improving anaphylaxis knowledge for residents-in-training via simulation laboratory training, and studying risk factors for Eosinophilic esophagitis in young children.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SchuvalSusan.jpg,https://www.stonybrook.edu/experts/profile/susan-schuval,food allergies,drug allergies,atopic dermatitis,insect sting allergy,immunodeficiency,,,,,,,,,,,,
Michael Schuster,"Stony Brook Cancer Center, Stem Cell Transplantation and Hematologic Malignancy Program","Transplant Specialist, Hematologist/Oncologist, Professor of Medicine, Team Leader and Director, Bone Marrow and Stem Cell Transplantation, Director, Hematologic Malignancies Program",Stony Brook Cancer Center,Stem Cell Transplantation and Hematologic Malignancy Program,School of Medicine,,,"Michael Schuster is a renowned hematologic cancer expert who has been the principal investigator for more than 200 clinical trials over the past 20 years and has worked extensively in the area of bone marrow transplantation, cytokines, hematologic malignancies, oncology new drug development, and cachexia. His research interests include improving stem cell transplant outcomes, new drug development in hematologic malignancies, lymphoma and leukemia, therapeutic uses of cytokines and immunotherapy, novel conditioning regimens in bone marrow, and blood stem cell transplantation, as well as the role of pro-inflammatory cytokines in geriatric and cancer cachexia, anemia, and in other disease states.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SchusterMichael.jpg,https://www.stonybrook.edu/experts/profile/michael-schuster,blood cancers,bone marrow transplant,leukemia,lymphoma,Hodgkin’s disease,,,,,,,,,,,,
Howard Schneider,Center for News Literacy,Founding Dean of the School of Journalism,Center for News Literacy,School of Journalism,,,,"Howard Schneider is the founding Dean of the School of Journalism and Executive Director of the University's Center for News Literacy, which developed the nation's first undergraduate course in how to be a discerning news consumer. The news literacy course has been completed by more than 15,000 students in the U.S. and in 10 countries. Before transitioning to higher education in 2006, Howie spent 35 years as a working journalist for Newsday, a top-tier New York newspaper -- where for 18 years he served as managing editor and then editor. Under his editorial leadership, the newspaper won eight Pulitzer Prizes and became one of the first newspapers in the nation to create news websites.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/howard_schneider.jpg,https://www.stonybrook.edu/experts/profile/howard-schneider,journalism,fake news,news literacy,communicating science,,,,,,,,,,,,,
Steven Sandoval,Surgery,"Surgeon, Emergency/Trauma, Assistant Professor of Surgery, Medical Director, Burn Center",Surgery,School of Medicine,,,http://medicine.stonybrookmedicine.edu/surgery/people/faculty/dr-steven-sandoval,"Steven Sandoval’s primary area of expertise is burn surgery, as well as evaluating burn victims, facial trauma, critical care, and general surgery.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SandovalSteven.jpg,https://www.stonybrook.edu/experts/profile/steven-sandoval,burn treatment,critical care,emergency care,pediatric trauma,wound care,fireworks injuries,,,,,,,,,,,
Marianna Savoca,Career Center,Director,Career Center,,,,https://www.stonybrook.edu/commcms/career-center/about/marianna,"Marianna Savoca leads a centralized career service for a all students and alumni of all majors, class years, and career intentions. She has held leadership roles in several career development organizations, consults for university career centers domestically and internationally, and has been recognized with several awards for excellence, including a Fulbright Award for Administrators in International Education, the NSEE Rising Leader Award, and the SUNY Chancellor’s Award for Excellence in Professional Service.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/marianna_savoca_72dpi.jpg,https://www.stonybrook.edu/experts/profile/marianna-savoca,career development,job market,internships,student employment,post-grad employment,experiential learning,community service,career service,work life after college,,,,,,,,
Warren C. Sanderson,Economics,Professor,Economics,College of Arts and Sciences,,,,"Warren Sanderson’s research interests are in population-economic interactions, which include probabilistic population forecasting, measuring aging in ways that take life expectancy change into account, and the effects of education and other demographic changes on economic growth. He is also a senior research scholar at the International Institute for Applied Systems Analysis in Austria.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SandersonWarren.jpg,https://www.stonybrook.edu/experts/profile/warren-sanderson,population growth,population forecasting,life expectancy,demography,aging,economic growth,,,,,,,,,,,
Nicole S. Sampson,Chemistry,Professor and Chair,Chemistry,College of Arts and Sciences,,,https://www.stonybrook.edu/chemistry/faculty/sampson.nicole.html,"Nicole Sampson’s research focuses on proteins and polymers. She studies how proteins function in human and microbial biology, and how small molecules can alter protein function to improve the human condition. She develops methods for precision synthesis of polymers. In particular, her research is aimed at finding new treatments for tuberculosis and cancer and to understand molecular reasons for infertility.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SampsonNicole.jpg,https://www.stonybrook.edu/experts/profile/nicole-sampson,protein structure and function,cancer targeting treatments,tuberculosis,infertility,,,,,,,,,,,,,
John Barry Ryan,Political Science,Assistant Professor,Political Science,College of Arts and Sciences,,,,"John Ryan's research focuses on political communication, social networks, campaigns, and voting behavior. His recent papers have explored how people's social networks affect which candidates they support and their partisanship, as well as how candidates strategical talk about issues in campaigns.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RyanJohn.jpg,https://www.stonybrook.edu/experts/profile/john-ryan,political communication,social networks,campaigns,voting behavior,influence of social networks on voting,politics,,,,,,,,,,,
Carl Safina,School of Marine and Atmospheric Sciences,Endowed Professor,School of Marine and Atmospheric Sciences,,,,https://www.stonybrook.edu/commcms/sustainability/faculty/safina.html,"Carl Safina, a marine ecologist and author of various books, including a recent bestseller about what animals think and feel, is one of the nation’s most esteemed environmental writers. As an ecologist, his achievements include leading campaigns to ban high-seas driftnets, achieve passage of a UN global fisheries treaty, and reduce albatross and sea turtle drownings on commercial fishing lines. He now writes about the troubled relationship between humanity and the living world.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/SafinaCarl.jpg,https://www.stonybrook.edu/experts/profile/carl-safina,Paris Climate Accord,conservation,ocean conservation,marine ecology,seabirds,environment,sustainable,animal intelligence,nature,animals,fisheries,orcas,animal conservation,,,,
Gabrielle Antoinette Russo,Anthropology,Assistant Professor,Anthropology,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/anthropology/faculty/grusso.html,"Gabrielle Russo’s research focuses on the functional morphology, the relationship between structure and function, and evolution of the primate musculoskeletal (locomotor) skeleton system. In her research, she employs comparative, evolutionary, and developmental approaches, and a number of morphometric (form measuring) techniques. Her research program aims to answer questions regarding three major transitions in the axial skeleton that occurred during hominoid (apes and humans) evolution: tail loss, the adoption of upright trunk posture, and adaptations to bipedal (two-legged) locomotion.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RussoGabrielle.jpg,https://www.stonybrook.edu/experts/profile/gabrielle-russo,primate locomotion,primate anatomy,vertebral column,human evolution,primate evolution,bipedalism,tails,tail loss,upright trunk posture,,,,,,,,
Delaney Ruston,Family Population & Preventive Medicine,Clinical Assistant Professor,Family Population & Preventive Medicine,School of Medicine,,,,"A physician who works with the underserved, Delaney Ruston is also producer and director of documentaries that address mental health and ethical dilemmas in doctor-patient communication. Her multi-award winning feature documentaries include UNLISTED: A Story of Schizophrenia, and HIDDEN PICTURES:  A Personal Journey into Global Mental Health, both of which have screened internationally and have aired on PBS stations nationwide. Her new documentary, SCREENAGERS: Growing Up In The Digital Age, was released in early 2016.",https://www.stonybrook.edu/faculty-directory/images/RustonDelaney.jpg,https://www.stonybrook.edu/experts/profile/delaney-ruston,mental health,mental illness,schizophrenia,mental illness documentaries,teenagers in digital age,ethics,ethical dilemmas,social media,,,,,,,,,
Naomi Rosenthal,Sociology,Visiting Professor,Sociology,College of Arts and Sciences,,,,"Naomi Rosenthal has written about 19 th Century women’s organizational networks, leader-member conflict in protest organizations, and social movements. Her most recent book, Spinster Tales and Womanly Possibilities, looks at changing conceptions of spinsterhood in modern American culture.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RosenthalNaomi.jpg,https://www.stonybrook.edu/experts/profile/naomi-rosenthal,social movements,women's studies,gender,historical sociology,feminism,spinsterhood,cultural issues,students who work,,,,,,,,,
Deanne Rogers,Geosciences,Assistant Professor,Geosciences,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/geosciences/people/faculty/rogers.html,"Deanne Rogers is anexpert in the surface of the planet Mars. To better understand the volcanic, aqueous and sedimentary history of the martian crust and surface, she uses  analyzes images and infrared data returned from Mars and the Moon. This work is done in her remote sensing facility located in the University's Center for Planetary Exploration, which opened in mid-2016.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/deanne_rise.jpg,https://www.stonybrook.edu/experts/profile/deanne-rogers,mars,geoscience,The Martian Crust and Surface,Spectroscopy,,,,,,,,,,,,,
Clinton Rubin,Biomedical Engineering,"Distinguished Professor, Chair of Department of Biomedical Engineering, Director of Center for Biotechnology",Biomedical Engineering,College of Engineering and Applied Sciences,,,http://bme.sunysb.edu/people/faculty/c_rubin.html,"Clinton Rubin’s work is targeted towards understanding the cellular mechanisms responsible for the growth, healing, and homeostasis of musculoskeletal tissues such as bone, cartilage, tendon, ligament, and muscle, as well as the formation of adiposity. He has published over 200 peer-reviewed papers and 50 book chapters on the use of physical stimuli in controlling physiologic processes and the musculoskeletal system, and holds 22 patents, with 14 pending, in the areas of wound repair, stem cell regulation, and treatment of bone disease.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RubinClinton.jpg,https://www.stonybrook.edu/experts/profile/clinton-rubin,bone,osteoporosis,obesity,exercise,bioengineering,biomedical engineering,,,,,,,,,,,
Eva Rodriguez,Occupational Therapy Program,Clinical Associate Professor and Chair,Occupational Therapy Program,School of Health Technology and Management,,,http://healthtechnology.stonybrookmedicine.edu/programs/otp/about/faculty/rodriguez,"Eva Rodriguez is a  pediatric occupational therapist who’s had a clinical practice for the past 27 years. She has research experience in transition issues for parents and youth who are diagnosed with pediatric multiple sclerosis. During the past several years, her clinical interests have also included driver rehabilitation for people with disabilities.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RodriguezEva.jpg,https://www.stonybrook.edu/experts/profile/eva-rodriguez,pediatric multiple sclerosis,drivers with disabilities,driver rehabilitation,,,,,,,,,,,,,,
Theresa Robertson,Management,Assistant Professor,Management,College of Business,,,,"Theresa Robertson’s research focuses on how people choose who to associate with and who to avoid, as well as how people detect and minimize the costs of social exclusion when it happens. Her research has been supported by the National Science Foundation and she has published in the Journal of Personality and Social Psychology, Psychological Science, and Evolution and Human Behavior.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/theresa%20robertson.PNG,https://www.stonybrook.edu/experts/profile/theresa-robertson,evolutionary psychology,ostracism,group dynamics,social decision making,emotions,evolution of human cognition,social exclusion,,,,,,,,,,
John Rizzo,Program in Public Health,Professor,Program in Public Health,School of Medicine,,,http://publichealth.stonybrookmedicine.edu/faculty/JohnRizzo,"John Rizzo is a health economist whose research interests include applied microeconomic studies of physician and pharmaceutical markets, the application of econometric methods to clinical outcomes research, and pharmacoeconomic evaluations of medical treatments and technologies. He consults for leading healthcare and government organizations, and has testified as an economics expert in cases involving the pharmaceutical and hospital industries. He also is the chief economist of the Long Island Association, the region's largest business group.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Rizzo%20John.jpg,https://www.stonybrook.edu/experts/profile/john-rizzo,health economics,public health,pharmaceutical economics,healthcare spending,housing market,job market,,,,,,,,,,,
Basil Rigas,"Medicine, Division of Cancer Prevention","Gastroenterologist, Chief, Division of Cancer Prevention, Vice President of Business Development, Dean for Clinical Affairs, William and Jane Knapp Professor of Pharmacology, Professor of Medicine",Medicine,Division of Cancer Prevention,School of Medicine,,http://medicine.stonybrookmedicine.edu/medicine/cancer_prevention,"Basil Rigas is a specialist in gastroenterology. In recent years, his focus has been on cancer prevention. He is recognized internationally for his research on the prevention of colon cancer using traditional nonsteroidal anti-inflammatory drugs (NSAIDs), nitric-oxide-donating NSAIDs, and other pharmacological agents. He also has pioneered the application of infrared spectroscopy to biology with an emphasis on cancer, and holds several relevant patents. A new area of his work concerns the use of nanotechnology in cancer prevention and treatment.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RigasBasil.jpg,https://www.stonybrook.edu/experts/profile/basil-rigas,gastroenterology,cancer prevention,anti-cancer drug development,,,,,,,,,,,,,,
Steven Reiner,School of Journalism,Associate Professor,School of Journalism,School of Journalism,,,http://journalism.cc.stonybrook.edu/?page_id=64,"Steven Reiner is a former CBS NEWS “60 Minutes” Emmy Award winning producer . He also served as Executive Producer of National Public Radio’s (NPR) “All Things Considered,” and as Senior Editor of NPR's Science Reporting Unit. He specializes in making complex scientific issues understandable to the general public and works with scientists, health professionals, and science students. In addition to his popular workshops called ""Distilling your Message,” and “Dealing with the Media,"" he is also one of two presenters of a ""Coursera MOOC,"" co-produced by the Center for News Literacy at the Stony Brook School of Journalism, and the University of Hong Kong.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/steven_reiner.jpg,https://www.stonybrook.edu/experts/profile/steven-reiner,Science Journalism,News Literacy,Fake News,Cognitive Dissonance,60 Minutes,,,,,,,,,,,,
Kevin A. Reed,School of Marine and Atmospheric Sciences,Assistant Professor,School of Marine and Atmospheric Sciences,,,,http://www.somas.stonybrook.edu/people/faculty/kevin-reed/,"Kevin Reed’s research interests include understanding the capability of global climate models to simulate extreme weather events and the impact of model design choices on the simulation of such extremes in a global context. One specific area of his research has focused on the ability of the National Center for Atmospheric Research’s Community Atmosphere Model (CAM) to simulate tropical cyclones at high-resolutions. Additionally, he studies how extreme events, including tropical cyclones, may change as a result of a changing climate.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/ReedKevin.jpg,https://www.stonybrook.edu/experts/profile/kevin-reed,tropical cyclones,extreme weather,climate change,hurricanes,,,,,,,,,,,,,
E. Troy Rasbury,Geosciences,Associate Professor,Geosciences,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/geosciences/people/faculty/rasbury.html,"Geologist Troy Rasbury’s research focuses on time resolution in sedimentary rock formations.  Using isotopes and trace elements to address questions of age, provenance and process, she has explored rock formations throughout the United States.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/troy-rasbury.jpg,https://www.stonybrook.edu/experts/profile/e-troy-rasbury,Geoscience,sedimentary rock,geology,time resolution,,,,,,,,,,,,,
Eric Rashba,Electrophysiology,"Cardiologist, Director, Heart Rhythm Center, Professor of Medicine",Electrophysiology,School of Medicine,,,,"Eric Rashba is an expert in the evaluation and management of all arrhythmia conditions.  His clinical practice focuses on atrial fibrillation management, including ablation and stroke prevention, device therapy for cardiac arrhythmias, and extraction of chronically implanted pacemaker and defibrillator leads.  Research interests include new mechanisms of QT prolongation, and prediction and prevention of sudden cardiac death.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RashbaEric.jpg,https://www.stonybrook.edu/experts/profile/eric-rashba,heart devices,pacemakers,arrhythmia,atrial fibrillation,,,,,,,,,,,,,
Svetlozar Rachev,Applied Mathematics and Statistics,Visiting Professor,Applied Mathematics and Statistics,College of Engineering and Applied Sciences,,,,"Svetlozar Rachev  works in the field of mathematical finance probability theory and statistics, and is one of the world’s foremost authorities in the application of heavy-tailed (larger probability of getting very large values) distributions in finance. He created an algorithm that is a statistically highly accurate risk analytics methodology to model and measure financial risks. He is the author of 14 books and over 300 published articles on finance, econometrics, probability, statistics, and actuarial science. Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RachevSZari.jpg,https://www.stonybrook.edu/experts/profile/svetlozar-rachev,risk management,finance,econometrics,statistics,mathematical finance probability,,,,,,,,,,,,
Suparna Rajaram,Psychology,Professor,Psychology,College of Arts and Sciences,,,http://you.stonybrook.edu/rajarammemorylab2/dr-suparna-rajaram/,"Suparna Rajaram’s research focuses on memory and amnesia. In one line of research, she studies the transmission of memory in groups and social networks. In a second line of research, testing both people with intact memory and with organic amnesia, she studies the differences between implicit and explicit memory, the distinction between episodic and semantic memory, and how attention modulates long-term memory. In a third line of research, she studies the nature of emotional memory.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RajaramSuparna.jpeg,https://www.stonybrook.edu/experts/profile/suparna-rajaram,memory,social learning,contagious behavior,contagious beliefs,amnesia,long-term memory,,,,,,,,,,,
Aurora Dawn Pryor,Surgery,"Professor of Surgery, Vice Chair for Clinical Affairs, Chief of Bariatric, Foregut and Advanced GI Surgery Division, Director of Bariatric/Metabolic Weight Loss Center and Minimally Invasive/Bariatric Surgery Fellowship",Surgery,School of Medicine,,,http://medicine.stonybrookmedicine.edu/surgery/people/faculty/dr-aurora-d-pryor,"Aurora Pryor's research is focused on advancing laparoscopic bariatric and upper GI surgery techniques and outcomes, and on use of new technology. She has performed more than 1,400 bariatric procedures among her over 3,000 surgical cases during the last 16 years. She is a regional expert in benign gastroesophageal diseases, including minimally invasive techniques for the management of reflux and swallowing disorders like complex revisional surgery. A nationally renowned scholar and researcher as well as surgeon, Dr. Pryor holds patents for surgical technologies.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/PryorAurora.jpg,https://www.stonybrook.edu/experts/profile/aurora-pryor,bariatric surgery,colon,gastric and esophageal cancers,gallbladder disease,gi stromal tumors,laparoscopic surgery,laparoscopy,minimally invasive surgery,reflux esophagitis,stomach cancer,extreme weight loss,obesity,,,,,
Roy Price,School of Marine and Atmospheric Sciences,Adjunct Assistant Professor,School of Marine and Atmospheric Sciences,,,,,"Roy Price is an aqueous geochemist investigating the chemical evolution of hydrothermal vent fluids and groundwater. These themes overlap in that fluid chemistry is driven by water-rock reactions. He focuses on shallow-sea vents, where he evaluates toxic metal cycling, bioaccumulation of arsenic, associated microbial communities, and even the origin of life. He also investigates metal mobilization and nitrogen cycling in groundwater. He is currently Research Coordinator for the Center for Clean Water Technology, and conducts research related to the Long Island's nitrate pollution. Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/roy-price.jpg,https://www.stonybrook.edu/experts/profile/roy-price,hydrogeology,hydrothermal vents,shallow-sea vents,Long Island and nitrate pollution,toxic elements in coastal marine environments,origin of life,arsenic,,,,,,,,,,
Joseph M. Pierce,Hispanic Languages and Literature,Assistant Professor,Hispanic Languages and Literature,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/hispanic/people/pierce.html,"Joseph M. Pierce specializes in 19th and turn-of-the-century Latin American literature and culture. He focuses on queer theory and kinship studies and investigates the mechanisms of power that have marginalized certain groups, such as sexual minorities, women, immigrants, and indigenous communities. He also collaborates with La Poderosa Media Project, a nonprofit that encourages youth empowerment and collaborative learning through community-based arts programs in Latin America and the United States.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/joseph-m-pierce.jpg,https://www.stonybrook.edu/experts/profile/jospeh-pierce,gender and sexuality studies,Latin American literature and culture,19th century studies,kinship,masculinity,homophobia,arts education,study abroad programs,experiential learning,Native American studies,,,,,,,
Stephen Post,Director of the Center for Medical Humanities,Professor,Director of the Center for Medical Humanities,School of Medicine,,,https://www.stonybrook.edu/bioethics/post.shtml,"Stephen Post is a bioethicist who has studied the relationship between altruism, compassion, happiness, healing and health to conclude that giving can lead to a happier, longer life. He is a pioneer in publishing works regarding ethical aspects of diseases such as Alzheimer’s, an important but neglected issue of the aging population. He is the Founding Director of The Center for Medical Humanities, Compassionate Care and Bioethics center at Stony Brook University.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/PostStephen.jpg,https://www.stonybrook.edu/experts/profile/stephen-post,bioethics,altruism,compassionate care,positive psychology,relationship between giving and happiness,longevity,Alzheimer's,Giving Tuesday,,,,,,,,,
Michael Peress,Political Science,Associate Professor,Political Science,College of Arts and Sciences,,,https://sites.google.com/a/stonybrook.edu/mperess/,"Michael Peress developed a survey-based measure of district ideology for the House of Representatives, and used it to document and study ways in which patterns of candidate positioning depart from perfect representation. In another recent paper he co-authored, he explores how voters benchmark national economic growth either rewarding or punishing incumbents.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/PeressMichael.jpg,https://www.stonybrook.edu/experts/profile/michael-peress,elections,u.s. congress,voting behavior,representation,electoral systems,legislative institutions,benchmarking,clientelism,political advertising,,,,,,,,
James Penna,Orthopaedics,"Chief of Sports Medicine, Associate Professor",Orthopaedics,School of Medicine,,,,"James Penna specializes in the care of athletes and disorders of the knee, shoulder, and elbow. He’s a board-certified orthopaedic surgeon and is a team orthopaedic physician for Stony Brook University, Suffolk County Community College, and Dowling College. Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/PennaJames2.jpg,https://www.stonybrook.edu/experts/profile/james-penna,ankle surgery,arthritis,arthroscopy,fracture care,knee surgery,orthopaedic surgery,orthopaedics,osteoarthritis,shoulder replacement surgery,shoulder surgery,sports medicine,trauma,upper extremity surgery,,,,
Bradley Peterson,School of Marine and Atmospheric Sciences,Associate Professor,School of Marine and Atmospheric Sciences,School of Marine and Atmospheric Sciences,,,http://www.somas.stonybrook.edu/people/faculty/bradley-peterson/,"Bradley Peterson’s research is focused on shallow coastal ecosystems (seagrasses, corals reefs, oysters reefs) to understand the role of of how these organisms influence their communities and how these interactions might affect community stability and resilience. Most of his work is with plant-animal interactions along the eastern coast of the U.S. One of his current projects is investigating the consequences of changing climate on Long Island south shore estuaries.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/petersongear-redo.jpg,https://www.stonybrook.edu/experts/profile/bradley-peterson,eelgrass,resotration,ocean acidification,climate change,oysters,hard clams,habitat complexity,Paris Climate Accord,,,,,,,,,
